text,target_sentiment
"El IBEX abre con pérdidas del 0,25 % en una jornada sin referencias de EEUU",Negative
El Ibex vuelve a perder el 9.000 lastrado por el Brexit y la guerra comercial,Negative
La planta de Nissan en Barcelona dejará de fabricar el 'pick-up' de Mercedes-Benz,Negative
CEOE denuncia la falta de EPIs de las pymes para reanudar su actividad con garantías,Negative
La ley de sociedades profesionales se retrasa de nuevo en el Congreso,Negative
Los peligros de financiarse sólo con rondas,Negative
"Tamaño y sector, los motivos detrás de las ""acusadas"" diferencias en digitalización de las empresas españolas",Negative
Acciona ve imposible adjudicar el contrato de ATLL a Agbar,Negative
El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional,Negative
La confianza empresarial cae en Alemania en septiembre por quinto mes,Negative
"Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar",Negative
"El sector textil cae un 8% en un semestre ""dramático"" en ventas",Negative
"El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea",Negative
Fitch avisa de que la unión bancaria no tranquiliza a los inversores,Negative
"Las ventas minoristas de la eurozona cayeron un 0,6% en diciembre",Negative
Cuando el heredero no sirve como directivo,Negative
La publicidad emitida en TV cae casi un 12% en el tercer trimestre,Negative
El 60% de las empresas no prevé mejorar sus ventas este verano,Negative
Cataluña amenaza el año récord de Caixabank,Negative
La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores,Negative
El Automobile de Barcelona se aplaza a septiembre por la crisis mundial de chips,Negative
"La solvencia del posible comprador de Air Comet, en entredicho",Negative
Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia,Negative
Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph,Negative
El activismo climático veta al gas,Negative
"La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron",Negative
Los datos sobre el uso de los ascensores arrojan una caída del 45% en la afluencia a la oficina por ómicron,Negative
La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera,Negative
6 errores que tienes que evitar al alquilar una oficina,Negative
"El ""Operativo Máximo"" causa un temblor en el PJ bonaerense",Negative
Los inspectores de Trabajo preparan huelga en marzo ante el “abandono” de Díaz y Montero,Negative
Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones,Negative
La devaluación puso más presión a los balances de las empresas,Negative
Empeoran las condiciones de los créditos para empresas,Negative
Emprendedor exhibe a influencer por pedir perfume gratis y así respondió Lizzy Graph,Negative
Fitch avisa de que la unión bancaria no tranquiliza a los inversores,Negative
Tenaris deja de cotizar en dos semanas y los inversores tienen que decidir qué hacer con sus acciones,Negative
Las cofradías ultiman una lluvia de alegaciones contra los dos parques eólicos marinos de Iberdrola en Galicia,Negative
Draghi protesta por el registro policial efectuado en el banco central de Eslovenia,Negative
Los peligros de financiarse sólo con rondas,Negative
Cataluña amenaza el año récord de Caixabank,Negative
"El sector textil cae un 8% en un semestre ""dramático"" en ventas",Negative
La CNMV prohíbe las ventas en corto sobre acciones de 69 sociedades por el impacto del coronavirus,Negative
La cara B de la oferta china por Nissan Barcelona: apenas beneficiará a los proveedores,Negative
La sombra de Bankia llega hasta Ibercaja: los minoristas vuelven a quedarse fuera,Negative
El activismo climático veta al gas,Negative
Los malos resultados de ArcelorMittal preocupan a las plantas del País Vasco,Negative
"El ""Operativo Máximo"" causa un temblor en el PJ bonaerense",Negative
Las aseguradoras verán reducida su red bancaria en 1.560 oficinas,Negative
Sube solo un 2% el tipo efectivo que las empresas pagan a Hacienda,Negative
Los coches eléctricos cortocircuitarán a los concesionarios,Negative
Acciona ve imposible adjudicar el contrato de ATLL a Agbar,Negative
La devaluación puso más presión a los balances de las empresas,Negative
"Gandía, última parada de la guerra legal entre Aguas de Valencia y Agbar",Negative
"La confianza empresarial cae un 2,5% por las peores expectativas ante ómicron",Negative
6 errores que tienes que evitar al alquilar una oficina,Negative
La banca estadounidense también se suma al exilio fiscal,Negative
El PSOE vaticina menos seguros agrarios con las ayudas del Gobierno regional,Negative
Cuando el heredero no sirve como directivo,Negative
La confianza empresarial cae en Alemania en septiembre por quinto mes,Negative
El futbolista del Real Madrid Marcelo paga medio millón de euros a Hacienda y evita una pena de cárcel de 4 meses,Negative
"El juez liquida una inmobiliaria de Banco de Valencia, Gesfesa, Igsa y Planea",Negative
El Covid-19 recorta en 2.150 millones el beneficio de las cotizadas catalanas,Negative
Las empresas españolas ante el desafío de la ciberseguridad,Negative
La publicidad caerá un 17% este año,Negative
JPMorgan: Vender acciones ahora conlleva mucho riesgo,Negative
La UE reduce su lista de paraísos fiscales en medio del escándalo por los 'Papeles de Pandora',Positive
Los anuncios sin ley de los ‘influencers’ tienen los días contados,Negative
"La propiedad intelectual podría ""desaparecer"" en el metaverso, según un prestigioso abogado especializado: así pueden protegerse las marcas, según los expertos",Negative
Lindorff anuncia el despido de 449 trabajadores en España,Negative
CCOO convoca paro en el centro de Amazon en San Fernando el 18 de mayo,Negative
Los taxistas se trasladan al centro de Madrid en su séptimo día de huelga,Negative
Feelcapital alerta de que los fondos de pensiones se venden sin realizar perfil de riesgo,Negative
"El interés de las hipotecas sigue en mínimos del 1,9% a pesar del auge de los tipos fijos",Negative
Airbus cierra sus plantas en España cuatro días y Volkswagen tres semanas,Negative
Hidalgo (Globalia) vaticina el fin de la agencia de viaje para sacar billetes,Negative
Jubilados protestan en Madrid contra norma sobre pensiones y el taxi se une,Negative
La reunión de Fomento con los estibadores acaba sin acuerdo,Negative
"Empresas portuarias denuncian el ""vandalismo"" de los estibadores",Negative
Así ha sido el robo de película de 750 kg. de oro en un aeropuerto de Brasil,Negative
"La vivienda se encarece un 4,2 % en eurozona y UE en último trimestre de 2018",Negative
Papelón del Gobierno: así es el dinero que descubre ahora para las pensiones,Negative
Vesuvius se niega a retirar el ERE que afecta a 128 trabajadores,Negative
Las aerolíneas ven difícil poder reemplazar a Thomas Cook a corto plazo,Negative
Declarada en concurso In Destination Incoming tras la quiebra Thomas Cook,Negative
Twitter y Tweetdeck experimentan problemas que impiden su uso con normalidad,Negative
"El sector de componentes para coches ve un 2020 ""desafiante"" y ""preocupante""",Negative
Telefónica gana un 50% menos hasta septiembre tras reestructurar su plantilla,Negative
"El sector inmobiliario, a la cola en sostenibilidad, pide objetivos realistas",Negative
Agencias de viajes recomiendan no viajar a China y facilitar cancelaciones,Negative
División de opiniones entre las CCAA sobre la decisión de Hacienda de dar un mayor margen de déficit tras negar los fondos del IVA,Negative
Barricadas y quema de neumáticos frente a la planta de Alcoa por los despidos,Negative
Medidas frente a la ocupación ilegal de viviendas,Negative
El 20% de los españoles ya tiene problemas para pagar su hipoteca o alquiler,Negative
Facturas falsas y fraude fiscal: varapalo al promotor de oficinas que acusa al Gobierno de comprar periodistas,Negative
"Economía/Agricultura.- Asaja pide que la retencion de ovejas y cabras acabe un mes antes para evitar ""graves perjuicios""",Negative
Las empresas tecnológicas españolas: mucha oferta y muy pocos candidatos,Negative
"El Gobierno, sin índice de precios para limitar los alquileres ni metodología para calcularlo",Negative
Vodafone presenta un ERE para 515 empleados en España,Negative
En la calle a la espera del Ingreso Mínimo Vital,Negative
Los locales de ocio nocturno serán clausurados a lo largo de esta semana,Negative
La deuda de la Comunidad también es consecuencia de la adhesión al Fondo de Facilidad Financiera,Negative
"Las pensiones en España, rumbo hacia el iceberg",Negative
"Los españoles necesitan 7,5 años de sueldo íntegro para comprar una vivienda",Negative
Volkswagen era consciente del fraude de las emisiones semanas antes de lo admitido,Negative
La venta de suelo cada vez cubre menos de lo que cuesta el Parque Central de Valencia,Negative
"Metro de Madrid comienza hoy los paros y critica unos servicios mínimos ""abusivos""",Negative
Alquilar un piso compartido en Aragón cuesta de media de 252 euros al mes,Neutral
Isern Patentes y Marcas presenta un ERTE,Negative
"Airbus plantea un ERTE para sus centros de Getafe, Illescas y Puerto Real",Negative
Deutsche Bank cerrará un 25% de sus oficinas y venderá Postbank para ahorrar 3.500 millones,Negative
Banco Madrid intenta frenar la fuga de empleados,Negative
Los billetes de 100 euros en circulación marcan mínimos históricos en abril,Negative
La Reina y la Princesa de Asturias cobrarán un sueldo fijo anual,Positive
WhatsApp sufre un fallo de seguridad que permite a los 'hackers' leer conversaciones,Negative
BNP Paribas suprimirá cerca de 1.600 empleos en su filial ucraniana,Negative
UGT relaciona el descenso del paro con la reducción de la población activa,Negative
"Madrileños y vascos, en el ojo del huracán de las subidas del euribor",Negative
El Banco de Inglaterra pone un drástico límite a las hipotecas para pinchar la burbuja inmobiliaria,Negative
Roche despedirá a unos 100 empleados en España,Negative
"Fernández de Sousa prestó 5,2 millones a su mujer para llevarlos a China",Negative
Telefónica recortará un 10% de su plantilla en la República Checa,Negative
La Fiscalía denuncia al presidente del Puerto de Valencia por posible malversación,Negative
Competencia cuestiona las UTE en contratación pública,Negative
Huelga la reforma,Neutral
La OIT ve la reforma laboral en España insuficiente para atajar el uso del despido improcedente,Negative
El servicio de radio de la BBC entra en crisis por los despidos masivos,Negative
El Hospital de Sant Pau negocia un ERE que afectará a unos 500 trabajadores,Negative
Ryanair cancela cuatro rutas en El Prat por la subida de las tasas aeroportuarias,Negative
Los coches reservados en agosto y entregados en septiembre tributarán con dos tipos de IVA distintos,Negative
Vestas aplica sus recortes en España y prescinde de 250 empleados,Negative
Ford Almussafes anuncia un nuevo ERTE de 33 días,Negative
"El nuevo mecanismo de ajuste de las pensiones no evitará el recorte de sus cuantías, según los expertos",Negative
"Caixa Penedès cerrará 39 oficinas, el 6% de su red",Negative
BBVA se suma a los recortes de plantilla de la banca,Negative
"DIA, en la cuerda floja del IBEX",Negative
Iglesias coloca un vicario en la negociación de los Presupuestos,Negative
Afectados por el coronavirus demandarán a Torra por las residencias,Negative
"Galicia: protesta por el ERE del Santander, que afectará a 370 empleos",Negative
Farggi presenta un ERE para despedir a 153 trabajadores,Negative
Iberdrola camufla sus problemas en España,Negative
"‘Arrivederci’ Alitalia, no se te echará de menos",Negative
Bancos y turísticas frenan el repunte de pagos de dividendos en 2021,Negative
Squid: así colapsó la criptomoneda del ‘Juego del calamar’,Negative
El misterio de quién inventó el bitcóin llega a juicio,Neutral
"Las ventas de vehículos de ocasión cae un 9,7% en el primer trimestre del año",Negative
Hugo Boss advierte de que no cumplirá previsiones por el descenso de ventas en China,Negative
En libertad con cargos cuatro de los detenidos de la organización UPA Extremadura,Positive
Una sentencia avala que se pueda despedir a un miembro del comité de empresa,Negative
"Vara se siente ""engañado"" con la inversión de los Presupuestos en Extremadura",Negative
"Repsol somete este viernes a su junta de accionistas el pago de un dividendo complementario de 0,45 euros",Neutral
Leopoldo del Nogal abandona el consejo de administración de El Corte Inglés,Negative
Técnicas Reunidas y el reto de lograr nuevos contratos,Negative
Las gestoras catalanas frenan los reembolsos de sus fondos,Positive
"Siemens Gamesa: el ajuste de plantilla no se hizo bien porque ""hubo mucho ruido y rumores""",Negative
"El mayor fabricante mundial de semiconductores, afectado por un virus informático",Negative
Un rebote que sabe a poco,Negative
El Popular cierra su semana negra con pérdidas de 800 millones en Bolsa,Negative
El bitcóin cae a mínimos de dos meses tras la prohibición de publicidad en Facebook,Negative
Realia gana un 74% menos en 2017 por los extraordinarios de 2016,Negative
Comerciantes amenazan con denunciar a CaixaBank por vender electrodomésticos,Negative
La Airef considera que la política fiscal de los Presupuestos es «muy similar» a la de otros años,Neutral
La mudanza de la TDT para dar paso al 5G puede costar 350 millones en ayudas,Negative
Bankinter ve “injusto” el impuesto a la banca y confía en que no salga adelante,Negative
Gimeno pide la auditoría sobre contratación en el área de seguridad de ECI,Negative
Ibarrola dimite como presidente de Deoleo por motivos de salud,Negative
Calviño no considera «muy barata» la indemnización por despido de 20 días,Negative
Primer reto de Villar-Mir II: Levantar un desplome de la acción del 77%,Negative
Baleares sanciona a Iberia con 448.000 euros por aplicar la cláusula 'no show',Negative
Acciones de Norwegian caen casi un 11 % tras anunciar ampliación de capital,Negative
H&M gana un 22% menos pero aguanta el tirón en España: vende un 2% más,Negative
"Albella (CNMV): ""La investigación interna de BBVA está tardando demasiado""",Negative
El Sabadell da por fracasada su fusión con el BBVA,Negative
"Departamento Transporte investiga Boeing, en fase final actualizar software",Negative
"Liberbank gana 73 millones de euros en el primer semestre, un 14% menos",Negative
Alcoa alerta de que peligra el futuro de su planta de aluminio en Lugo,Negative
"La facturación trimestral del grupo PSA baja un 1,1 % interanual",Negative
Lyft pierde 1.138 millones dólares en primeros resultados tras salida a bolsa,Negative
Telefónica sale de la Bolsa de Argentina por su escaso volumen de negociación,Negative
Sacyr batalla en el Tribunal Supremo contra la concesión del aeropuerto de Corvera a Aena,Negative
"Thomas Cook cae un 14,72 % en Bolsa tras multiplicar por seis sus pérdidas",Negative
Adif multará a adjudicatarias que pacten concursos con el 10 % del contrato,Negative
El BCE concluye que Nordea tiene suficiente capital pero débil sistema datos,Negative
Continental revisa a la baja sus pronósticos de beneficio y facturación,Negative
"Merlin gana 262 millones, un 45% menos, por la ausencia de extraordinarios",Negative
Natra escribe su punto final en bolsa: quedará excluida el 30 de agosto,Negative
Ferrovial recurre la decisión judicial sobre la autopista canadiense ETR-407,Negative
Exconsejeros de Bankia niegan cualquier interés personal en la salida a Bolsa,Positive
"Moody's hunde más a OHL en 'bono basura' tras sus ""pobres resultados"" trimestrales",Negative
"Los beneficios de Twitter se hunden un 95% en el tercer trimestre, hasta los 33 millones",Negative
El sector del vapeo culpa a Sanidad de la reducción del 30% de las ventas,Negative
Las principales aerolíneas europeas dejan de sobrevolar Irak e Irán,Negative
Samsung prevé una caída del 34% de su beneficio en el cuarto trimestre,Negative
Walsh cesará como consejero delegado de IAG y Gallego le sucederá en el cargo,Negative
"Fiat Chrysler gana 2.700 millones en 2019, un 19% menos interanual",Negative
"TSJM rechaza el recurso de Glovo y encuadra a ""riders"" en convenio de reparto",Negative
Guerra comercial: EEUU acusa a Huawei de conspirar para el robo de secretos comerciales,Negative
"Gobierno y organización chocan por la cancelación del Mobile: en juego, una alerta sanitaria y el cobro de indemnizaciones",Negative
"Pallete (Telefónica) ganó 5,37 millones en 2019, un 0,6% menos que en 2018",Negative
Merlin Properties prevé un impacto por el Covid-19 en las rentas brutas de 2020 menor del 10%,Positive
La economía gallega ante el 12-J: 'vacaciones fiscales' e Inditex para salir de la crisis,Positive
Moody's rebaja el rating de Repsol por el coronavirus y la caída del precio del crudo,Negative
"Atlantia pide a Italia una decisión con criterios ""legales"" sobre la retirada de todas sus concesiones por la caída del puente de Morandi",Negative
La pionera del 'fracking' se declara en quiebra,Negative
Criteria prescinde de García-Bragado como vicepresidente y seguirá de consejero en Caixabank,Negative
El fondo de los profesores de Arkansas demanda a Allianz,Negative
GM perdió 758 millones de dólares en el segundo trimestre por el Covid,Negative
"Coca-Cola European Partners gana un 54,5% menos en 2020",Negative
Economía/Fiscal.- El Congreso rechaza las enmiendas de totalidad contra la reforma fiscal,Negative
Los titanes digitales chinos caen en Bolsa por el cerco de Pekín,Negative
El líder de Samsung no se libra de los juzgados,Negative
"Mapfre prepara un anuncio ""importante"", CNMV suspende cotización",Negative
"Grenergy gana un 22,5% menos a septiembre debido a más amortizaciones",Negative
Boeing detecta piezas defectuosas en más de 300 aviones del modelo 737,Negative
El euríbor acelera su caída para marcar su media mensual más baja desde noviembre,Negative
La industria inmobiliaria demanda a N.York por vetar comisiones a inquilinos,Negative
La Audiencia Nacional declara nulo el ERTE de Arcelor Mittal en sus centros en España,Negative
Audiencia Nacional obliga a Nestlé a abonar a los empleados la prima por la pandemia que anunció,Negative
"Los presidentes de Fórum Filatélico y Afinsa, detenidos a la espera de declarar",Negative
Una campaña de la DGT vigilará esta semana a unos 150 vehículos de transporte escolar,Negative
Dimiten los tres cargos del Banco de España imputados por el 'caso Bankia' que aún estaban en activo,Negative
Un 20% de las horas extras trabajadas en la hostelería son en negro,Negative
"Las mujeres cobran de media un 30% menos que los hombres, según Gestha",Negative
Un 92% de las empresas que deberían por ley tener un plan de igualdad no lo tiene,Negative
"El precio medio de la vivienda aumentó el 5,5 % en 2018, según la tasadora ST",Positive
Funcas publica 'Las desigualdades económicas en España: realidades y percepciones',Negative
"Escribano (RIElcano): ""En la transición energética habrá países vecinos perdedores""",Negative
Un juez deniega a siete controladores extinguir sus contratos con AENA,Positive
El Gobierno prevé que un 40% de los trabajadores se jubile con 67 años,Negative
"Los ingresos minoristas de las 'telecos' cayeron un 1,3% en el tercer trimestre del año pasado",Negative
General Electric saldrá del índice Dow Jones después de 111 años y será reemplazada por Walgreens,Negative
Las acciones de la Juventus caen un 3% tras fichar a Cristiano,Negative
Facebook ve esfumarse 119.000 millones de dólares de su capitalización,Negative
Torres rechaza «juicios paralelos» sobre BBVA en una carta a la plantilla,Positive
"Ryanair, al borde de una nueva fuga de personal un año después de perder a más de 140 pilotos",Negative
"Vodafone reduce sus ingresos en los tres primeros meses un 8,2%, hasta los 994,1 millones",Negative
Guerra entre los mayores accionistas de Cabures,Negative
Telefónica anuncia el cierre y desembolso de dos emisiones de deuda perpetua por 1.750 millones,Negative
Los deportistas establecidos en España tendrán que tributar como residentes,Negative
El precio de la vivienda tocará fondo en 2016,Negative
Picardo: «Un 'brexit' duro para el Reino Unido amenazaría la economía de Gibraltar»,Neutral
Los ERTE se mantendrán hasta el próximo 30 de septiembre,Positive
Qué es el Registro Mercantil,Neutral
"La inflación de la eurozona se mantiene en el 0,2% en agosto",Neutral
Las coberturas menos conocidas de los seguros de coche,Neutral
Así afecta la política de Trump a diez empresas,Neutral
Fondo de Garantía Inversiones en Degiro Broker Online,Neutral
Saracho deja JP Morgan para fichar como presidente de Popular,Negative
Más cambios en L’Occitane: la compañía nombra nuevo consejero delegado,Neutral
"Vinissimus, de la bodega a la Red",Neutral
"Xavier Domènech: ""Necesitamos un acuerdo transversal con agentes políticos, sociales y económicos""",Positive
"El noruego Helge Lund, nuevo presidente de BP a partir de 2019",Positive
Allianz Seguros nombra a Beatriz Corti nueva subdirectora general de la entidad,Neutral
Las fechas clave de la declaración de la Renta,Neutral
El éxito agridulce de las constructoras españolas: son líderes en el mundo pero sufren en casa,Neutral
Preguntas y respuestas sobre el ingreso mínimo vital,Neutral
"Consejera Trabajo en Holanda: ""Cuidado con las trampas laborales en la red""",Positive
"Valores que hay que seguir este martes: Liberbank, Iberdrola, Abengoa, Rovi",Positive
Las bolsas del Sudeste Asiático comienzan con resultados mixtos,Neutral
REE nombra a Concepción Ordiz (SEPI) vicesecretaria general de la compañía,Neutral
Cotización del yuan chino,Neutral
"Derechos sociales europeos, por favor",Positive
La OMC en manos de Trump,Neutral
"Javier Sánchez, presidente de las cámaras de comercio",Positive
La Bolsa de Sao Paulo no opera este viernes por ser festivo en Brasil,Neutral
La Bolsa de Tokio no opera hoy por ser festivo,Neutral
El BCE reserva su munición: mantiene sin cambios su plan de compra de deuda,Neutral
"Dónde invertir en bolsa este viernes: Cellnex, Endesa, Indra y Siemens Gamesa",Neutral
"Robots y 'start up', la alianza más estratégica",Positive
Acciona nombra consejera a una profesora de Harvard,Neutral
Cómo se calculan los ingresos procedentes del capital mobiliario,Neutral
Economía/OPA.- La CNE debatirá el jueves si admite a Gas Natural como parte interasada en la OPA de E.ON,Neutral
Burberry nombra consejero delegado a Marco Gobbetti,Neutral
El PP cuelga el cartel de 'Se Vende' en Génova: esto es lo que puede pedir por la sede,Neutral
Catalá recibe a la candidatura de Javier Íscar para conocer sus propuestas y reivindicaciones,Neutral
Donald Trump y el Brexit han dejado de ser comparables,Neutral
Gimeno dice que los cambios del ICA entrarán en vigor una vez se apruebe por ley,Neutral
"Iván Delgado: ""Los inversores tendrán en cuenta si se suben o no los impuestos en España""",Neutral
"Los Charts de Hódar: Acciona, CIE Automotive y Telefónica",Neutral
Los inversores se preguntan si la cartera 60/40 tiene futuro,Neutral
Financiación Autonómica – III,Neutral
Un nuevo lenguaje para las ofertas de empleo,Neutral
Hacienda y las CCAA analizan el jueves la reforma fiscal y los objetivos de déficit,Neutral
Las Cortes analizan las previsiones de gasto de Agricultura y Educación para 2015,Neutral
Los factores que sí se valorarán en el futuro para conseguir un empleo,Positive
"La importancia económica de Brasil para Extremadura, a debate en los cursos de verano de la UEX",Positive
La CAF celebra su conferencia anual en Washington,Neutral
Así será la fiscalidad de la automoción,Neutral
Análisis técnico de los 10.000 del Ibex,Neutral
"Mercedes GLA, desde 31.150 euros",Neutral
Zapatos de lujo con nombre de diva italiana,Neutral
El Nikkei cierra plano,Negative
El debate pendiente sobre los ayuntamientos,Neutral
"Los valores de Hódar: Banco Santander, Repsol YPF, Red Eléctrica, BBVA",Neutral
"Los valores de Hódar: Abengoa, OHL, Tubos Reunidos, Tubacex",Neutral
"Emmanuel Macron: inspector fiscal, banquero y nuevo presidente de Francia",Positive
Hummer pasará a manos Chinas,Neutral
Trabajo ha impuesto sanciones por más de 1.530 millones desde la entrada en vigor del control horario,Positive
El presidente de la OPEP dice que el petróleo está demasiado caro,Positive
El Banco de España cree que la reforma de pensiones no basta para cubrir costes,Negative
Hacienda se embolsará 370 euros más por contribuyente en el IRPF gracias a la inflación,Positive
El FMI urge a Italia y España a pedir el rescate para detener la crisis de deuda,Neutral
Una tractorada en Córdoba abre las protestas contra la PAC y la subida de costes,Negative
El petróleo avista los 82 dólares: la demanda gana a la normalidad en Kazajistán y Libia,Positive
MásMóvil lidera el crecimiento de móviles en septiembre con 42.000 líneas,Positive
Realia crea una filial patrimonial para entrar en el negocio de alquiler de vivienda,Positive
Central sindical argentina llama a una huelga general el 29 de mayo,Positive
"Santander y Unicaja, los bancos favoritos de Goldman Sachs para ganar en bolsa",Positive
Iberdrola se adjudica el mayor número de lotes en subasta solar de Portugal,Positive
EE.UU. aumenta del 10 % al 15 % los aranceles contra Airbus,Positive
Cofares rompe su techo histórico de facturación y aumenta su cuota de mercado,Positive
Elon Musk agota sus pantalones cortos de Tesla en cinco minutos,Positive
La economía china ya acecha el podio de las potencias mundiales,Positive
Bundesbank: economía alemana se aprovechará de coyuntura global,Positive
"Las ventas de las grandes empresas crecieron un 4,9%",Positive
Los clientes de las franquicias prefieren Facebook a Twitter,Positive
Enagás cierra la compra de otro 20% de GNL Quintero en Chile por 178 millones de euros,Positive
AT&T adquiere Nextel México por 1.875 millones de dólares,Positive
Telefónica cierra la compra del 22% de Canal+ a Mediaset,Positive
"Minoritarios de Bankia reclamarán responsabilidad patrimonial al Banco de España, Economía y la CNMV",Positive
Privalia realiza el 25 % de todas las ventas de moda online en España,Positive
La banca española se rebela contra Moody’s,Positive
La Inspección de Trabajo ya sanciona a pymes por el control horario,Positive
Dancausa admite que las sinergias de Línea Directa con Bankinter “son mínimas”,Negative
El gigante chino del petróleo Sinopec se lanza a la carrera por liderar el hidrógeno,Positive
